JAHR;GCD;GEM_NAME;BEV_ABSOLUT;BEV_UNTER15;BEV_UEBER65;AUSL_STAATSB;EWTQ_15BIS64;ALQ_15PLUS;EDU_15_SEK;EDU_15_TER;AUSPENDLER;PHH;HH_SIZE;FAMILIEN;UNT;AST;BESCH_AST
2011;10101;Eisenstadt;13.101;13,8;18,2;9,4;70,9;4,3;59,5;18,7;43,6;5.950;2,15;3.597;1.394;1.768;16.060
2011;10201;Rust;1.896;13,8;22,2;4,7;74,9;3,2;61,4;7,6;62,4;798;2,33;549;191;216;865
2011;10301;Breitenbrunn am Neusiedler See;1.902;12,1;22,4;5,6;71,2;3,7;62,4;10,7;78,6;866;2,18;571;157;173;573
2011;10302;Donnerskirchen;1.742;12,3;20,2;3,8;71,5;4,3;66,1;7,1;76,4;735;2,37;508;149;162;413
2011;10303;Großhöflein;1.929;12,9;17;3,4;72,9;3,8;61,9;10,3;85,7;796;2,42;593;122;133;455
2011;10304;Hornstein;2.758;13;20,4;9;67,7;6,2;64,8;8,2;79,2;1.241;2,22;832;212;233;1.232
2011;10305;Klingenbach;1.166;10,7;18,3;12,2;70,5;5,2;62,8;5,7;84,7;503;2,32;350;68;76;238
2011;10306;Leithaprodersdorf;1.157;15,8;15,4;1,7;74;3,7;65;7,3;80;378;3,06;342;90;98;189
2011;10307;Mörbisch am See;2.319;14,6;22,3;4,6;70,4;4,3;58,8;5,2;67,2;962;2,41;694;215;223;551
2011;10308;Müllendorf;1.329;14,3;19,1;4,6;69,2;4,5;58,8;12,1;84;522;2,55;387;80;90;698
2011;10309;Neufeld an der Leitha;3.182;15,9;18,6;7,3;72,7;4,3;64,5;8,8;79,6;1.398;2,24;927;220;247;874
2011;10310;Oggau am Neusiedler See;1.799;12;20,1;2,6;70,7;3,2;58,8;5,6;80,5;780;2,31;538;108;117;256
2011;10311;Oslip;1.288;13,4;19,2;5,5;70;4,8;59,7;8,5;86;541;2,38;384;99;104;258
2011;10312;Purbach am Neusiedler See;2.713;12,3;20,1;4,2;72,3;3,9;62,1;7,5;73;1.163;2,32;800;209;232;756
