NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz ;36781;68894;60828;56195;37644;23527;283869;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz ;376;456;538;719;455;290;2834;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach ;486;550;676;892;502;292;3398;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn ;186;247;275;423;289;226;1646;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding ;241;279;339;444;266;178;1747;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark) ;258;230;314;417;207;134;1560;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal ;169;185;253;342;222;129;1300;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten ;241;250;333;407;268;121;1620;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60344;Deutschlandsberg ;1568;1843;2184;2892;1948;1205;11640;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60345;Eibiswald ;850;1031;1196;1640;1143;715;6575;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60346;Groß Sankt Florian ;568;711;782;1046;654;436;4197;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60347;Sankt Martin im Sulmtal ;381;502;503;809;528;326;3049;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60348;Sankt Stefan ob Stainz ;455;577;648;945;603;339;3567;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60349;Schwanberg ;584;707;816;1205;794;499;4605;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60350;Stainz ;1198;1381;1669;2163;1414;825;8650;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60351;Wies ;591;678;844;1043;818;446;4420;01.01.2017
AT2;AT22;AT221;606;Graz-Umgebung;60608;Feldkirchen bei Graz ;898;1034;1334;1523;838;515;6142;01.01.2017
