NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz ;139418;144451;283869;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz ;1377;1457;2834;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach ;1707;1691;3398;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn ;807;839;1646;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding ;897;850;1747;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark) ;764;796;1560;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal ;665;635;1300;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten ;810;810;1620;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60344;Deutschlandsberg ;5658;5982;11640;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60345;Eibiswald ;3300;3275;6575;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60346;Groß Sankt Florian ;2116;2081;4197;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60347;Sankt Martin im Sulmtal ;1519;1530;3049;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60348;Sankt Stefan ob Stainz ;1784;1783;3567;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60349;Schwanberg ;2268;2337;4605;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60350;Stainz ;4213;4437;8650;01.01.2017
AT2;AT22;AT225;603;Deutschlandsberg;60351;Wies ;2227;2193;4420;01.01.2017
AT2;AT22;AT221;606;Graz-Umgebung;60608;Feldkirchen bei Graz ;3029;3113;6142;01.01.2017
AT2;AT22;AT221;606;Graz-Umgebung;60611;Gössendorf ;1923;1995;3918;01.01.2017
AT2;AT22;AT221;606;Graz-Umgebung;60613;Gratkorn ;3835;3978;7813;01.01.2017
AT2;AT22;AT221;606;Graz-Umgebung;60617;Hart bei Graz ;2438;2504;4942;01.01.2017
AT2;AT22;AT221;606;Graz-Umgebung;60618;Haselsdorf-Tobelbad ;698;687;1385;01.01.2017
AT2;AT22;AT221;606;Graz-Umgebung;60619;Hausmannstätten ;1548;1629;3177;01.01.2017
AT2;AT22;AT221;606;Graz-Umgebung;60623;Kainbach bei Graz ;1418;1344;2762;01.01.2017
