NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_CODE;LAU_CODE;LAU_NAME;POP_2015;POP_2020;POP_2025;POP_2030
AT2;AT22;AT221;601;Graz-Stadt;60101;Graz;274207;292985;310076;323755
AT2;AT22;AT225;603;Deutschlandsberg;60305;Frauental an der Laßnitz;2880;2843;2818;2791
AT2;AT22;AT225;603;Deutschlandsberg;60318;Lannach;3376;3402;3453;3504
AT2;AT22;AT225;603;Deutschlandsberg;60323;Pölfing-Brunn;1624;1658;1670;1676
AT2;AT22;AT225;603;Deutschlandsberg;60324;Preding;1728;1739;1766;1780
AT2;AT22;AT225;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark);1474;1549;1624;1686
AT2;AT22;AT225;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal;1322;1344;1345;1336
AT2;AT22;AT225;603;Deutschlandsberg;60341;Wettmannstätten;1553;1587;1604;1616
AT2;AT22;AT225;603;Deutschlandsberg;60344;Deutschlandsberg;11433;11619;11705;11732
AT2;AT22;AT225;603;Deutschlandsberg;60345;Eibiswald;6585;6405;6220;6073
AT2;AT22;AT225;603;Deutschlandsberg;60346;Groß Sankt Florian;4224;4067;3973;3908
AT2;AT22;AT225;603;Deutschlandsberg;60347;Sankt Martin im Sulmtal;3049;2948;2855;2772
AT2;AT22;AT225;603;Deutschlandsberg;60348;Sankt Stefan ob Stainz;3544;3467;3401;3343
AT2;AT22;AT225;603;Deutschlandsberg;60349;Schwanberg;4618;4312;4074;3890
AT2;AT22;AT225;603;Deutschlandsberg;60350;Stainz;8535;8675;8775;8864
AT2;AT22;AT225;603;Deutschlandsberg;60351;Wies;4459;4375;4328;4274
AT2;AT22;AT221;606;Graz-Umgebung;60608;Feldkirchen bei Graz;5840;6088;6315;6502
AT2;AT22;AT221;606;Graz-Umgebung;60611;Gössendorf;3837;4083;4291;4463
AT2;AT22;AT221;606;Graz-Umgebung;60613;Gratkorn;7791;8051;8301;8497
AT2;AT22;AT221;606;Graz-Umgebung;60617;Hart bei Graz;4538;4848;5027;5191
AT2;AT22;AT221;606;Graz-Umgebung;60618;Haselsdorf-Tobelbad;1353;1371;1382;1393
AT2;AT22;AT221;606;Graz-Umgebung;60619;Hausmannstätten;2988;3127;3223;3304
AT2;AT22;AT221;606;Graz-Umgebung;60623;Kainbach bei Graz;2720;2862;2966;3051
AT2;AT22;AT221;606;Graz-Umgebung;60624;Kalsdorf bei Graz;6183;6637;6960;7214
AT2;AT22;AT221;606;Graz-Umgebung;60626;Kumberg;3728;3880;3991;4088
AT2;AT22;AT221;606;Graz-Umgebung;60628;Laßnitzhöhe;2690;2701;2761;2811
AT2;AT22;AT221;606;Graz-Umgebung;60629;Lieboch;4866;5179;5402;5585
AT2;AT22;AT221;606;Graz-Umgebung;60632;Peggau;2201;2204;2232;2261
AT2;AT22;AT221;606;Graz-Umgebung;60639;Sankt Bartholomä;1379;1398;1395;1393
AT2;AT22;AT221;606;Graz-Umgebung;60641;Sankt Oswald bei Plankenwarth;1214;1236;1248;1253
AT2;AT22;AT221;606;Graz-Umgebung;60642;Sankt Radegund bei Graz;2063;2058;2044;2037
AT2;AT22;AT221;606;Graz-Umgebung;60645;Semriach;3327;3436;3519;3575
AT2;AT22;AT221;606;Graz-Umgebung;60646;Stattegg;2795;2902;2969;3017
AT2;AT22;AT221;606;Graz-Umgebung;60647;Stiwoll;725;726;728;728
AT2;AT22;AT221;606;Graz-Umgebung;60648;Thal;2265;2277;2283;2285
AT2;AT22;AT221;606;Graz-Umgebung;60651;Übelbach;1982;2014;2041;2064
AT2;AT22;AT221;606;Graz-Umgebung;60653;Vasoldsberg;4418;4511;4647;4765
AT2;AT22;AT221;606;Graz-Umgebung;60654;Weinitzen;2602;2691;2751;2788
AT2;AT22;AT221;606;Graz-Umgebung;60655;Werndorf;2278;2385;2473;2540
AT2;AT22;AT221;606;Graz-Umgebung;60656;Wundschuh;1545;1607;1660;1705
AT2;AT22;AT221;606;Graz-Umgebung;60659;Deutschfeistritz;4211;4181;4172;4184
AT2;AT22;AT221;606;Graz-Umgebung;60660;Dobl-Zwaring;3423;3566;3684;3781
AT2;AT22;AT221;606;Graz-Umgebung;60661;Eggersdorf bei Graz;6467;6500;6574;6640
AT2;AT22;AT221;606;Graz-Umgebung;60662;Fernitz-Mellach;4610;4821;5020;5191
AT2;AT22;AT221;606;Graz-Umgebung;60663;Frohnleiten;6698;6491;6389;6309
AT2;AT22;AT221;606;Graz-Umgebung;60664;Gratwein-Straßengel;12786;13160;13411;13635
AT2;AT22;AT221;606;Graz-Umgebung;60665;Hitzendorf;6905;6982;7073;7155
AT2;AT22;AT221;606;Graz-Umgebung;60666;Nestelbach bei Graz;2669;2688;2717;2749
AT2;AT22;AT221;606;Graz-Umgebung;60667;Raaba-Grambach;4029;4369;4582;4756
AT2;AT22;AT221;606;Graz-Umgebung;60668;Sankt Marein bei Graz;3580;3654;3671;3692
AT2;AT22;AT221;606;Graz-Umgebung;60669;Seiersberg-Pirka;10699;11016;11306;11588
AT2;AT22;AT221;606;Graz-Umgebung;60670;Premstätten;5692;6245;6683;7005
AT2;AT22;AT225;610;Leibnitz;61001;Allerheiligen bei Wildon;1400;1445;1468;1480
AT2;AT22;AT225;610;Leibnitz;61002;Arnfels;1051;1033;1005;982
AT2;AT22;AT225;610;Leibnitz;61007;Empersdorf;1318;1302;1287;1279
AT2;AT22;AT225;610;Leibnitz;61008;Gabersdorf;1107;1140;1160;1178
AT2;AT22;AT225;610;Leibnitz;61012;Gralla;2251;2435;2582;2682
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;2260;2294;2292;2297
AT2;AT22;AT225;610;Leibnitz;61016;Heimschuh;2006;2014;2020;2026
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg;1411;1421;1442;1461
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;1249;1257;1258;1245
AT2;AT22;AT225;610;Leibnitz;61020;Lang;1256;1267;1295;1319
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen;2076;2110;2168;2209
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;2208;2092;2012;1945
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz;1463;1465;1466;1466
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;1742;1717;1687;1665
